iter	RMSE
0	0.3743863547
1	0.3628633477
2	0.3523628358
3	0.3418942164
4	0.331659514
5	0.3215789026
6	0.3129637023
7	0.3035907357
8	0.2960909363
9	0.2888279243
10	0.2825702641
11	0.2755659087
12	0.2694362556
13	0.2635269266
14	0.2576316852
15	0.2515012888
16	0.2458621334
17	0.239436559
18	0.2348295914
19	0.2301101752
20	0.2243088916
21	0.2193607041
22	0.2148944044
23	0.2105783931
24	0.2063812398
25	0.2025783387
26	0.1991556877
27	0.1952398777
28	0.19236259
29	0.1888949284
30	0.1859145066
31	0.1829528321
32	0.1801329569
33	0.1773079345
34	0.1744891826
35	0.1718490874
36	0.1695520008
37	0.1677907734
38	0.1657881471
39	0.1635281044
40	0.161354779
41	0.1595999926
42	0.1576440869
43	0.1559415267
44	0.1539836222
45	0.1524412373
46	0.1509991722
47	0.1494726289
48	0.1480536384
49	0.1466333668
50	0.1453257474
51	0.1440710469
52	0.1426117677
53	0.1412524717
54	0.1400654993
55	0.1389150204
56	0.1378789181
57	0.1369265518
58	0.1359028501
59	0.1349820841
60	0.1340282528
61	0.1331074083
62	0.1321135997
63	0.1310836388
64	0.1303895986
65	0.1294662688
66	0.1288486924
67	0.1280518815
68	0.1273458281
69	0.1266416157
70	0.1258565058
71	0.125204776
72	0.124527118
73	0.1236789339
74	0.1231445308
75	0.1225283718
76	0.1218027531
77	0.121224886
78	0.1207346274
79	0.1202810163
80	0.119694311
81	0.1191406163
82	0.1186933698
83	0.1181730199
84	0.1176842245
85	0.1171198487
86	0.1166236302
87	0.1162927505
88	0.1159078171
89	0.1155274245
90	0.1150796223
91	0.1146674877
92	0.1142281435
93	0.1137803218
94	0.1134787155
95	0.1130612312
96	0.1126938196
97	0.1123844968
98	0.112081095
99	0.111699099
100	0.1113362658
101	0.1110170191
102	0.1106012433
103	0.1101944563
104	0.1100283062
105	0.1096166258
106	0.1093012503
107	0.1090486353
108	0.1087731499
109	0.1085172606
110	0.1081857986
111	0.1079269992
112	0.1075547419
113	0.1071185737
114	0.1067155306
115	0.1065069727
116	0.1063310067
117	0.1060461937
118	0.1058209174
119	0.1055031877
120	0.1053225482
121	0.105109349
122	0.1048140027
123	0.1046078058
124	0.1044077943
125	0.1041550165
126	0.1038014154
127	0.103538964
128	0.1033387316
129	0.1031492233
130	0.1028747507
131	0.1026321707
132	0.1024695772
133	0.1021761921
134	0.1019510812
135	0.1017690612
136	0.1015217628
137	0.1012233855
138	0.1009995647
139	0.1007770701
140	0.1005566619
141	0.1003296703
142	0.1001949039
143	0.1000689007
144	0.09988543246
145	0.09963501261
146	0.09955750547
147	0.09934938
148	0.09916794963
149	0.09912011905
150	0.09886769016
151	0.09862067346
152	0.09846675397
153	0.09830523945
154	0.09805220898
155	0.09800691095
156	0.09783412135
157	0.09763038221
158	0.09753721719
159	0.09729651044
160	0.09713498196
161	0.09693801197
162	0.09685817905
163	0.09673749881
164	0.09668290631
165	0.09642073592
166	0.09620685418
167	0.09606729119
168	0.09585277043
169	0.09566864127
170	0.09550550792
171	0.09541822523
172	0.09524401183
173	0.09520243408
174	0.09509938194
175	0.0950371579
176	0.09498151524
177	0.09482164935
178	0.09461597341
179	0.09436052292
180	0.09428784215
181	0.09421845258
182	0.09414326459
183	0.09409472482
184	0.09387755733
185	0.09368564494
186	0.09363241756
187	0.0934318529
188	0.0933410351
189	0.09327792131
190	0.09309569746
191	0.09304370951
192	0.09285596602
193	0.09261830425
194	0.09247805132
195	0.09234341303
196	0.09225971726
197	0.09211361577
198	0.09207102369
199	0.09187466023
200	0.09172577489
201	0.09166545851
202	0.091597411
203	0.09155073263
204	0.09150747815
205	0.09136481495
206	0.09117252054
207	0.09113792164
208	0.09094789169
209	0.09077491797
